text,rating,label
almost good ipad mini love apple ipad however great backup,5,2
great device great reading books small compact lightweight looks great light great feature,5,2
amazonbasics aaa performance alkaline batteries 20pack subscribed batteries holding good cant beat price either,5,2
great price dont seem last long,4,2
simple easy use wife takes everywhere,5,2
ok,4,2
good kids thing get sd card memory,4,2
superior dura c batteries compared new batteries brand flashlight amazon batteries brighter,5,2
great seller awesome product,5,2
bought 2 yr old grandson loves lot learning numbers alphabet shapes,5,2
got upgrade kids kindle fires work great issues,5,2
good,5,2
kinda look like 357 rounds eh seriously great value surprisingly good lifespan,4,2
perfect im homework surfing web im starbucks home,5,2
started leaking shortly reciept,2,0
bought one 40 black friday sale gift cousin flattered performance even didnt expect good works flawlessly usual games apps going miss youtube amazons app store youtube meets requirements daily use,5,2
dont last long ive better luck cheaper batteries ive duracell batteries equipment usage lasted 4 times longer amazon aa batteries,1,0
great tablet clear picture would buy,5,2
great,5,2
great quality great price,5,2
good quality battery price eveready,4,2
seem good batteries update later average long last,4,2
one 48 batteries arrived looks like leak rest look fine ill keep otherwise batteries work fine,3,1
perfect tablet beginner sturdy everything needs,5,2
like fire tablet feel going camera better camera internet works find takes load read book prefer use original paper white read lighting including outside price good product,3,1
cheap like,5,2
son 22 months love watches favorite shows,5,2
batteries job last long time writing used two months normally would good using set led string lights kept hour day past month barely used batteries started die alter color lights expected get lot longer use considering brands need change every six months earliest,2,0
inexpensive last long pricey ones wish amazon bigger pack assorted batteries,5,2
aa batteries worked perfectly box,5,2
granddaughter loves easy durable loves pink case,5,2
theres different things daughter doon plus read well,4,2
lot batteries great price bet never see supermarket thank amazonbasics,5,2
fine,5,2
got tablet toddler setup going great installed apps amazon transferred account went load netflix say frustrating netflix app understatement completely reset tablet factory settings twice netflix work well tablet either takes long load times load takes several attempts get netflix load works thats complaint great,4,2
child toys come along great price quick shipping,5,2
super bummed purchased exactly 3 months ago today used 8 batteries arrived started die week already went replace none unopened ones work recap last long 8 even usable disappointed big amazon users,1,0
tap great product access alexa grab go format,5,2
great batteries good price amazon basics items ive purchased seem good quality im sold brandupdate 2162016ive buying amazon basics batteries quite found good better brand keep buying sizes needed rather name brand batteries,5,2
received quickly havent seen long last compared expensive batteries,4,2
child loves playing kindle fire entertaining educational,5,2
good name brand,5,2
nice size easy use blue shade great feature,5,2
